,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
30,2023-12-11 00:00:00,22300295,,1610612755,1610612764,2023,,146.0,54.7,88.0,43.5,37.0,47.0,,101.0,42.4,64.5,29.0,21.0,44.0,1
31,2023-12-11 00:00:00,22300292,,1610612766,1610612748,2023,,114.0,47.6,77.3,41.5,31.0,31.0,,116.0,48.1,79.4,42.9,31.0,43.0,0
32,2023-12-11 00:00:00,22300293,,1610612765,1610612754,2023,,123.0,55.6,76.7,34.5,26.0,30.0,,131.0,56.5,73.7,41.9,33.0,43.0,0
33,2023-12-11 00:00:00,22300294,,1610612753,1610612739,2023,,104.0,46.4,76.0,26.9,22.0,43.0,,94.0,35.3,75.8,22.5,15.0,48.0,1
34,2023-12-11 00:00:00,22300297,,1610612752,1610612761,2023,,136.0,60.5,65.2,58.6,36.0,42.0,,130.0,49.0,73.3,35.9,32.0,38.0,1
35,2023-12-11 00:00:00,22300298,,1610612745,1610612759,2023,,93.0,34.4,85.0,30.8,20.0,60.0,,82.0,35.6,68.2,12.2,20.0,51.0,1
36,2023-12-11 00:00:00,22300299,,1610612763,1610612742,2023,,113.0,46.1,81.3,40.9,26.0,38.0,,120.0,50.0,89.5,42.5,27.0,43.0,0
37,2023-12-11 00:00:00,22300302,,1610612760,1610612762,2023,,134.0,52.1,94.1,47.4,35.0,39.0,,120.0,47.8,95.2,31.6,32.0,41.0,1
38,2023-12-11 00:00:00,22300301,,1610612740,1610612750,2023,,121.0,48.8,77.5,37.0,27.0,47.0,,107.0,44.0,73.7,36.1,26.0,47.0,1
39,2023-12-11 00:00:00,22300300,,1610612749,1610612741,2023,,133.0,51.2,81.1,40.5,34.0,48.0,,129.0,41.2,80.0,44.1,25.0,51.0,1
40,2023-12-11 00:00:00,22300296,,1610612737,1610612743,2023,,122.0,45.8,94.4,38.6,25.0,35.0,,129.0,53.4,79.3,41.4,29.0,49.0,0
41,2023-12-11 00:00:00,22300303,,1610612758,1610612751,2023,,131.0,51.1,71.4,55.6,38.0,43.0,,118.0,47.7,95.2,48.3,24.0,41.0,1
42,2023-12-11 00:00:00,22300304,,1610612746,1610612757,2023,,132.0,55.1,95.5,38.2,33.0,35.0,,127.0,47.8,84.6,47.5,25.0,36.0,1
43,2023-12-08 00:00:00,22301217,,1610612753,1610612765,2023,,123.0,55.1,78.9,38.5,26.0,45.0,,91.0,42.0,70.8,20.0,17.0,38.0,1
44,2023-12-08 00:00:00,22301216,,1610612766,1610612761,2023,,119.0,55.7,90.0,52.0,30.0,31.0,,116.0,50.5,76.2,18.8,32.0,42.0,1
45,2023-12-08 00:00:00,22301218,,1610612755,1610612737,2023,,125.0,48.3,81.1,36.7,24.0,48.0,,114.0,39.4,90.5,33.3,20.0,55.0,1
46,2023-12-08 00:00:00,22301227,,1610612738,1610612752,2023,,133.0,52.7,85.7,40.4,24.0,34.0,,123.0,50.0,74.1,40.5,28.0,44.0,1
47,2023-12-08 00:00:00,22301221,,1610612763,1610612750,2023,,103.0,43.0,73.7,42.9,24.0,28.0,,127.0,50.0,92.3,39.5,30.0,54.0,0
48,2023-12-08 00:00:00,22301220,,1610612748,1610612739,2023,,99.0,43.0,66.7,35.7,23.0,37.0,,111.0,46.0,65.4,36.8,21.0,51.0,0
